Brand,Processor,Operating_System,Storage,RAM,Touch_Screen,Price
ASUS,Core i5,Windows 11 Home,512,16,0,69990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,64400
WINGS,Core i3,Windows 11 Home,256,8,0,24990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i5,Windows 11 Home,512,8,0,53990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
DELL,Core i5,Windows 11 Home,1000,16,0,64990
ASUS,Celeron Dual Core,Chrome,64,4,1,23999
Acer,Core i3,Windows 11 Home,512,8,0,31890
Acer,Core i5,Windows 11 Home,512,8,0,62990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
MSI,Core i7,Windows 11 Home,2000,16,0,79990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,1,54999
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
HP,Core i5,Windows 11 Home,512,8,0,57680
DELL,Core i5,Windows 11 Home,512,8,0,70199
DELL,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,93003
Lenovo,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,98990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
Infinix,Core i7,Windows 11 Home,1000,32,0,57990
DELL,Core i7,Windows 11 Home,512,16,0,147689
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Apple,M2,Mac OS Monterey,512,8,0,136990
HP,Core i3,Windows 11 Home,512,8,1,39550
MSI,Core i7,Windows 11 Home,4000,16,0,103990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i3,Windows 11 Home,512,8,0,38500
Acer,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Core i7,Windows 11 Home,1000,16,1,74990
ASUS,Core i5,Windows 11 Home,3000,8,0,85990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,43500
MSI,Core i7,Windows 11 Home,4000,16,0,110990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
Lenovo,Core i7,Windows 11 Home,512,16,0,107990
HP,Core i3,Windows 11 Home,512,8,0,47119
CHUWI,Core i5,Windows 11 Home,1000,16,0,32990
CHUWI,Core i3,Windows 11 Home,512,8,0,24990
